fut_name,fee,point,spread
SC,20.8,1000,0.1
CU,0.0000532,5,10
AL,3.3,5,5
RU,0.0000479,10,5
FU,0.0000217,10,1
ZN,3.3,5,5
AU,10.8,1000,0.01
RB,0.0001056,10,1
WR,0.0000427,10,1
PB,0.0000427,5,5
AG,0.0000532,15,1
BU,0.0001056,10,2
HC,0.0001056,10,1
NI,1.1,1,10
SN,1.1,1,10
WH,2.7,20,1
PM,5.4,,
CF,4.6,5,5
CY,4.3,5,5
SR,3.2,10,1
TA,3.2,5,2
OI,2.2,10,2
RI,2.7,20,1
MA,2.2,10,1
FG,3.2,20,1
RM,1.61,10,1
RS,2.2,10,1
ZC,4.3,100,0.2
JR,3.2,20,1
LR,3.2,20,1
AP,0.52,10,1
SF,3.2,5,2
SM,3.2,5,2
A,2.2,10,1
B,2.2,10,1
M,0.22,10,1
Y,2.7,10,2
C,0.22,10,1
L,2.7,5,5
P,2.7,10,2
V,2.14,5,5
J,0.000063,100,0.5
JM,0.000063,60,0.5
I,0.000072,100,0.5
JD,0.0001581,10,1
FB,0.0001056,,
BB,0.0001056,500,0.05
PP,0.0000636,5,1
CS,1.61,10,1
IF,0.000315,300,0.2
IH,0.000315,300,0.2
IC,0.000315,200,0.2
TF,15,10000,0.005
T,12,10000,0.005
SP,0,10,2
EG,0,10,1
CJ,0,5,5
EB,0,5,1
UR,0,20,1
TS,3,20000,0.005
SS,0,5,5